"LV-Nr";"Fachname";"Typ";"Vortragende";"Lehrstuhl";"Link"
"12.00078";"Actions and Planning in AI: Learning, Models, and Algorithms";"UE";"Jansen, Niklas; Reiter, Jonas Laurenz";"Lehrstuhl für Maschinelles Lernen und Inferenz (Informatik 6)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563270"
"12.00056";"Actions and Planning in AI: Learning, Models, and Algorithms";"VO";"Geffner, Hector";"Lehrstuhl für Maschinelles Lernen und Inferenz (Informatik 6)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562834"
"12.00039";"Advanced Algorithmic Differentiation";"VU";"Naumann, Uwe; Kauerauf, Gero Fritz";"Lehr- und Forschungsgebiet Software und Werkzeuge für Computational Engineering";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563150"
"12.00029";"Advanced Algorithms";"SE";"Hoefer, Martin Karl Wilhelm";"Lehrstuhl für Algorithmen und Komplexität (Informatik 1)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/586995"
"61.31013";"Advanced Coding and Modulation";"UE";"Jax, Peter Johannes; Hahn, Johannes Christofer; Hardenbicker, Till Vincent";"Lehrstuhl und Institut für Kommunikationssysteme";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560995"
"61.31012";"Advanced Coding and Modulation";"VO";"Jax, Peter Johannes; Hahn, Johannes Christofer; Hardenbicker, Till Vincent";"Lehrstuhl und Institut für Kommunikationssysteme";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561296"
"12.24002";"Advanced Internet Technology (Übung)";"UE";"Büning, Julian Ruben; Fibich, Arthur Marcel; Hamza, Majd";"Lehrstuhl für Kommunikation und verteilte Systeme (Informatik 4)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560757"
"12.24001";"Advanced Internet Technology (Vorlesung)";"VO";"Wehrle, Klaus";"Lehrstuhl für Kommunikation und verteilte Systeme (Informatik 4)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560368"
"12.34452";"Advanced Machine Learning";"VO";"Leibe, Bastian";"Lehrstuhl für Computer Vision (Informatik 13)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560900"
"12.25112";"Advanced Process Mining";"UE";"van der Aalst, Willibrordus Martinus Pancratius; Knopp, Benedikt; Pitsch, Cameron; Peeva, Viki; Brockhoff, Tobias";"Lehrstuhl für Process and Data Science (Informatik 9)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562097"
"12.25111";"Advanced Process Mining";"VO";"van der Aalst, Willibrordus Martinus Pancratius";"Lehrstuhl für Process and Data Science (Informatik 9)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562096"
"12.00052";"Advanced Topics in IT-Security and Cryptograpy";"SE";"Drichel, Arthur; Ehrmanntraut, Vincent Cosme; Meyer, Ulrike Michaela";"Lehr- und Forschungsgebiet IT-Sicherheit";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563873"
"12.00104";"Advanced Topics in IT-Security and Cryptograpy";"SE";"Drichel, Arthur; Ehrmanntraut, Vincent Cosme; Meyer, Ulrike Michaela";"Lehr- und Forschungsgebiet IT-Sicherheit";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562849"
"12.00047";"Advanced Topics in Network Science";"SE";"Schaub, Michael Thomas";"Lehrstuhl für Computational Network Science";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563406"
"12.02001";"Advanced Topics in Reinforcement Learning and Planning";"SE";"Geffner, Hector";"Lehrstuhl für Maschinelles Lernen und Inferenz (Informatik 6)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/575648"
"12.00109";"Agentic AI in a 2D Video Game";"PR";"Hufnagel, Paul; Netz, Lukas Stephan Michael; Nqiri, Haron Samy; Thillmann, Henrik";"Lehrstuhl für Software Engineering (Informatik 3)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587080"
"12.00117";"AI as Co-Teacher? Opportunities and Challenges of Generative AI in Schools";"SE";"Ehlenz, Matthias Siegfried";"Lehr- und Forschungsgebiet Lerntechnologien";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587083"
"12.00060";"AI Self-Reflection - Understanding How LLMs Learn from Themselves";"SE";"Decker, Stefan Josef; Moosmann, Paul; Morad, Milad; Reiners, René";"Lehrstuhl für Informationssysteme und Datenbanken (Informatik 5)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587003"
"12.00030";"Aktuelle Themen der Effizienten Algorithmen";"SE";"Seibert, Sebastian";"Lehrstuhl für Algorithmen und Komplexität (Informatik 1)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/586996"
"12.58042";"Aktuelle Themen in der Fluidsimulation";"SE";"Bender, Jan Stephen";"Lehr- und Forschungsgebiet Computer Animation";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560320"
"11.33691";"Algebra";"VO";"Zerz, Eva Barbara";"Lehr- und Forschungsgebiet Mathematik (Algebra)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561105"
"11.33692";"Algebra (Übung)";"UE";"Rohde, Yannic; Zerz, Eva Barbara";"Lehr- und Forschungsgebiet Mathematik (Algebra)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561885"
"12.00092";"Algorithmische Spieltheorie";"VO";"Hoefer, Martin Karl Wilhelm";"Lehrstuhl für Algorithmen und Komplexität (Informatik 1)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/574215"
